%  Stalagmite H5, Hoti, Oman (Neff et al., 2001)
%
%  Age years BP     d18O
%
8992.8    -5.10
8995.6    -4.75
8998.4    -4.99
9001.2    -4.99
9004.0    -5.70
9006.8    -5.36
9009.6    -5.45
9012.4    -5.34
9015.2    -4.82
9018.0    -5.23
9020.8    -4.71
9023.6    -4.64
9026.4    -4.43
9029.2    -4.94
9032.0    -4.90
9034.8    -4.80
9037.6    -4.68
9040.4    -4.84
9043.2    -5.35
9046.0    -5.20
9048.8    -5.19
9051.6    -5.32
9054.4    -5.90
9057.2    -5.44
9060.0    -5.30
9062.8    -5.67
9065.6    -5.12
9068.4    -5.30
9071.2    -5.05
9074.0    -5.26
9076.8    -5.22
9079.6    -4.92
9082.4    -5.18
9085.2    -5.18
9088.0    -5.21
9090.8    -5.17
9093.6    -5.08
9096.4    -4.96
9099.2    -4.87
9102.0    -5.27
9104.8    -5.06
9107.6    -5.60
9110.4    -5.18
9113.2    -5.26
9116.0    -5.53
9118.8    -4.60
9121.6    -4.67
9124.4    -4.16
9127.2    -4.31
9130.0    -4.84
9132.8    -4.85
9135.6    -4.80
9138.4    -4.88
9141.2    -3.82
9144.0    -4.51
9146.8    -4.44
9149.6    -4.33
9152.4    -4.34
9155.2    -4.01
9158.0    -4.50
9160.8    -4.03
9163.6    -3.88
9166.4    -4.27
9169.2    -4.50
9172.0    -4.04
9174.8    -4.43
9177.6    -3.94
9180.4    -3.85
9183.2    -4.20
9186.0    -4.66
9188.8    -4.65
9191.6    -4.42
9194.4    -3.85
9197.2    -4.66
9200.0    -5.17
9202.8    -4.42
9205.6    -4.73
9208.4    -4.68
9211.2    -4.73
9214.0    -5.23
9216.8    -5.34
9219.6    -5.90
9222.4    -5.54
9225.2    -5.59
9228.0    -5.96
9230.8    -4.70
9233.6    -5.00
9236.4    -4.34
9239.2    -5.04
9242.0    -4.73
9244.8    -4.72
9247.6    -4.74
9250.4    -4.71
9253.2    -4.61
9256.0    -4.86
9258.8    -4.60
9261.6    -4.70
9264.4    -5.39
9267.2    -5.29
9270.0    -4.94
9272.8    -4.60
9275.6    -4.56
9278.4    -4.77
9281.2    -4.85
9284.0    -5.16
9286.8    -5.05
9289.6    -4.89
9292.4    -4.93
9295.2    -5.19
9298.0    -4.79
9300.8    -4.56
9303.6    -4.70
9306.4    -4.46
9309.2    -4.68
9312.0    -4.68
9314.8    -4.39
9317.6    -5.13
9320.4    -5.28
9323.2    -4.51
9326.0    -4.87
9328.8    -4.78
9331.6    -4.77
9334.4    -4.37
9337.2    -3.83
9340.0    -4.08
9342.8    -4.68
9345.6    -4.46
9348.4    -4.68
9351.2    -4.68
9354.0    -4.66
9356.8    -5.06
9359.6    -4.41
9362.4    -5.21
9365.2    -4.88
9368.0    -4.21
9370.8    -4.65
9373.6    -4.88
9376.4    -4.88
9379.2    -4.45
9382.0    -4.67
9384.8    -5.06
9387.6    -4.91
9390.4    -5.08
9393.2    -5.60
9396.0    -4.84
9398.8    -5.11
9401.6    -5.09
9404.4    -5.12
9407.2    -4.95
9410.0    -4.22
9412.8    -4.92
9415.6    -4.97
9418.4    -5.02
9421.2    -4.86
9424.0    -4.65
9426.8    -4.59
9429.6    -4.94
9432.4    -4.43
9435.2    -4.31
9438.0    -4.61
9440.8    -4.48
9443.6    -4.14
9446.4    -4.07
9449.2    -3.85
9452.0    -4.39
9454.8    -4.35
9457.6    -3.74
9460.4    -4.23
9463.2    -4.26
9466.0    -4.13
9468.8    -4.09
9471.6    -3.92
9474.5    -4.25
9477.3    -4.76
9480.1    -5.08
9482.9    -4.94
9485.7    -4.47
9488.5    -4.58
9491.3    -4.22
9494.1    -4.59
9496.9    -4.62
9499.7    -4.69
9502.5    -4.79
9505.3    -5.00
9508.1    -5.37
9510.9    -4.95
9513.7    -4.85
9516.5    -4.60
9519.3    -4.36
9522.1    -4.77
9524.9    -4.96
9527.7    -4.98
9530.5    -5.23
9533.3    -5.07
9536.1    -4.84
9538.9    -4.62
9541.7    -4.48
9544.5    -3.83
9547.3    -4.56
9550.1    -4.24
9552.9    -4.82
9555.7    -4.66
9558.5    -4.84
9561.3    -4.31
9564.1    -4.04
9566.9    -3.39
9569.7    -4.50
9572.5    -4.76
9575.3    -5.14
9578.1    -4.38
9580.9    -4.84
9583.7    -4.47
9586.5    -4.88
9589.3    -5.36
9607.1    -5.40

